"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 12","20,629.35","20,046.56","20,629.35","19,883.66","-","2.92%"
"Nov 12","20,044.62","20,805.75","21,137.51","19,932.89","-","-3.58%"
"Oct 12","20,789.41","21,675.22","21,808.00","20,781.77","-","-4.08%"
"Sep 12","21,674.79","20,311.66","21,972.85","19,921.16","-","6.71%"
"Aug 12","20,311.66","19,611.60","20,388.66","19,264.02","-","3.35%"
"Jul 12","19,652.66","20,205.62","20,812.02","19,467.97","-","-2.74%"
"Jun 12","20,207.16","20,979.62","21,108.60","20,164.82","-","-3.76%"
"May 12","20,997.56","22,683.92","22,683.92","20,390.10","-","-7.41%"
"Apr 12","22,677.93","23,579.50","24,163.78","22,656.92","-","-3.96%"
"Mar 12","23,612.02","22,728.08","23,660.03","22,557.75","-","3.89%"
"Feb 12","22,728.75","21,951.12","23,043.05","21,951.12","-","3.56%"
"Jan 12","21,948.07","19,467.69","22,107.23","19,447.91","-","12.71%"
"Dec 11","19,473.31","19,911.82","20,247.39","19,138.03","-","-2.20%"
"Nov 11","19,911.82","19,640.40","19,987.59","18,929.97","-","1.44%"
"Oct 11","19,629.63","18,341.18","20,100.18","17,149.55","-","7.10%"
"Sep 11","18,329.10","20,686.35","20,759.42","18,267.20","-","-11.44%"
"Aug 11","20,697.11","21,969.10","22,126.40","18,699.24","-","-5.76%"
"Jul 11","21,963.10","18,887.99","22,611.82","18,856.54","-","16.34%"
"Jun 11","18,878.78","21,569.41","21,752.45","18,571.81","-","-12.46%"
"May 11","21,566.07","19,634.75","22,701.51","19,397.03","-","9.83%"
"Apr 11","19,636.22","21,955.31","21,955.31","17,449.48","-","-10.57%"
"Mar 11","21,957.49","22,842.96","22,876.45","20,479.05","-","-3.88%"
"Feb 11","22,842.96","22,911.14","23,837.20","22,522.16","-","-0.19%"
"Jan 11","22,887.41","23,377.04","23,801.50","21,608.10","-","-2.08%"
"Dec 10","23,374.57","20,852.05","23,382.34","20,852.05","-","12.08%"
"Nov 10","20,854.50","19,223.03","20,959.50","19,223.03","-","8.50%"
"Oct 10","19,220.93","17,864.17","19,605.91","17,860.00","-","7.58%"
"Sep 10","17,867.36","15,153.33","17,875.56","15,153.33","-","17.91%"
"Aug 10","15,153.33","14,280.23","15,200.70","14,280.23","-","6.15%"
"Jul 10","14,275.38","13,985.35","14,275.73","13,713.10","-","2.08%"
"Jun 10","13,985.01","14,484.56","14,505.58","13,490.12","-","-3.47%"
"May 10","14,487.31","15,846.31","15,879.86","14,041.40","-","-8.55%"
"Apr 10","15,842.26","15,128.94","16,096.22","15,128.94","-","4.71%"
"Mar 10","15,129.00","13,999.53","15,243.56","13,999.53","-","8.05%"
"Feb 10","14,002.32","14,443.40","14,691.50","13,795.77","-","-3.03%"
"Jan 10","14,440.05","14,166.75","15,995.80","14,166.75","-","1.93%"
