"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12","4,400.10","4,318.16","4,403.57","4,198.73","-","1.90%"
"May 12","4,318.16","4,585.77","4,591.15","4,153.85","-","-5.84%"
"Apr 12","4,585.77","4,671.28","4,696.67","4,494.90","-","-1.83%"
"Mar 12","4,671.28","4,535.60","4,691.65","4,454.86","-","2.99%"
"Feb 12","4,535.60","4,260.75","4,553.54","4,260.97","-","6.45%"
"Jan 12","4,260.75","4,177.53","4,282.73","4,018.46","-","1.99%"
"Dec 11","4,177.53","4,161.29","4,222.11","4,084.44","-","0.39%"
"Nov 11","4,161.29","4,327.25","4,391.75","3,955.14","-","-3.84%"
"Oct 11","4,327.25","3,888.58","4,335.64","3,600.42","-","11.28%"
"Sep 11","3,888.58","4,288.32","4,320.75","3,751.35","-","-9.32%"
"Aug 11","4,288.32","4,425.98","4,501.48","3,766.07","-","-3.11%"
"Jul 11","4,425.98","4,795.28","4,811.81","4,392.17","-","-7.70%"
"Jun 11","4,795.28","4,847.87","4,882.20","4,525.82","-","-1.08%"
"May 11","4,847.87","4,822.50","4,884.92","4,514.68","-","0.53%"
"Apr 11","4,822.50","4,624.47","4,825.12","4,610.05","-","4.28%"
"Mar 11","4,624.47","4,444.57","4,633.47","4,223.46","-","4.05%"
"Feb 11","4,444.57","4,673.07","4,737.84","4,215.91","-","-4.89%"
"Jan 11","4,673.07","4,927.53","5,048.13","4,634.90","-","-5.16%"
"Dec 10","4,927.53","4,956.96","5,020.38","4,824.12","-","-0.59%"
"Nov 10","4,956.96","4,912.53","5,047.00","4,870.18","-","0.90%"
"Oct 10","4,912.53","4,795.38","4,920.37","4,665.55","-","2.44%"
"Sep 10","4,795.38","4,525.01","4,849.17","4,525.01","-","5.97%"
"Aug 10","4,525.01","4,364.15","4,543.92","4,339.23","-","3.69%"
"Jul 10","4,364.15","4,065.29","4,394.45","4,022.03","-","7.35%"
"Jun 10","4,065.29","3,886.86","4,151.40","3,829.17","-","4.59%"
"May 10","3,886.86","3,865.45","3,895.37","3,704.58","-","0.55%"
"Apr 10","3,865.45","3,763.12","3,869.09","3,765.04","-","2.72%"
"Mar 10","3,763.12","3,827.44","3,839.99","3,689.69","-","-1.68%"
"Feb 10","3,827.44","3,808.96","3,868.09","3,689.25","-","0.49%"
"Jan 10","3,808.96","3,581.42","3,819.31","3,566.87","-","6.35%"
